filepath,label
clear/55138_L0Z0.jpg,0
fog/63108.jpg,2
fog/37152_KYLM.jpg,2
fog/63219_FN0H.jpg,2
fog/55189_NGNF.jpg,2
fog/56451_ROA2.jpg,2
clear/22018_LT9W.jpg,0
clear/14416_MER5.jpg,0
clear/14300_N2J4.jpg,0
fog/11509_YDRD.jpg,2
rain/39566_JQWS.jpg,1
fog/43367_CDNN.jpg,2
snow/27537_QXH8.jpg,3
fog/55652_WNRX.jpg,2
fog/36723_GBEE.jpg,2
clear/55556_874O.jpg,0
clear/19383.jpg,0
clear/64310.jpg,0
snow/37916.jpg,3
clear/05610_HAG7.jpg,0
clear/06284.jpg,0
fog/63842.jpg,2
fog/52465_C9LM.jpg,2
clear/37102_0VAE.jpg,0
snow/39203.jpg,3
clear/55626_HOT0.jpg,0
clear/52460.jpg,0
clear/07363_YO0Q.jpg,0
clear/06373_776D.jpg,0
fog/24434_AF1A.jpg,2
rain/63004_DO91.jpg,1
snow/24933 (2).jpg,3
clear/12176_Q6PC.jpg,0
clear/19394_C7XV.jpg,0
fog/49952.jpg,2
fog/63355_OZJL.jpg,2
fog/63555_QNYN.jpg,2
clear/14595_9FPN.jpg,0
fog/20787_093L.jpg,2
fog/55554_2TC2.jpg,2
fog/48322_FZO1.jpg,2
clear/07353_8SQH.jpg,0
fog/59410_L1ZC.jpg,2
snow/20631_GG57.jpg,3
clear/37172_MIO3.jpg,0
clear/36693_SNQ7.jpg,0
fog/56473_X3A7.jpg,2
rain/55247_W1AI.jpg,1
fog/55532_6ZD4.jpg,2
rain/37463_U9KN.jpg,1
fog/36727.jpg,2
clear/06403_9JF9.jpg,0
clear/23052_XH20.jpg,0
fog/07642_W1V7.jpg,2
clear/50895.jpg,0
rain/37431_CNWI.jpg,1
clear/03166_804A.jpg,0
snow/20657_H7OF.jpg,3
clear/52817_D186.jpg,0
clear/37187_ACAS.jpg,0
rain/55676_ARFV.jpg,1
clear/50982_1X6V.jpg,0
clear/07269.jpg,0
clear/31375_2SGR.jpg,0
clear/52658.jpg,0
clear/19296.jpg,0
clear/64342.jpg,0
clear/07328_773A.jpg,0
fog/37141_8VBG.jpg,2
fog/05704.jpg,2
fog/13411_OW7N.jpg,2
fog/55568_LAVD.jpg,2
clear/06241.jpg,0
fog/09511.jpg,2
clear/52306.jpg,0
clear/52643_BDOS.jpg,0
clear/52489_XUNF.jpg,0
snow/20657_SHE8.jpg,3
snow/37224.jpg,3
clear/64265.jpg,0
clear/64324.jpg,0
snow/27289_DAVG.jpg,3
fog/14579_0T33.jpg,2
clear/45036_RWNU.jpg,0
rain/48648_HQ7H.jpg,1
fog/13368_P7VY.jpg,2
fog/24529.jpg,2
rain/06356.jpg,1
fog/07307_L261.jpg,2
clear/52321.jpg,0
clear/06337_YIES.jpg,0
clear/37166_PVWA.jpg,0
fog/14461.jpg,2
fog/06332_L5EH.jpg,2
clear/52145_DGY9.jpg,0
clear/64268.jpg,0
fog/06283_K2YC.jpg,2
clear/06125_TXWT.jpg,0
clear/06230_7YTI.jpg,0
fog/05653_ZLQ7.jpg,2
clear/52256.jpg,0
clear/19349_KMB1.jpg,0
fog/36647_M6RD.jpg,2
rain/07325_V4GP.jpg,1
clear/06398_8MW8.jpg,0
snow/23037_TJVC.jpg,3
rain/29660_H676.jpg,1
clear/13346.jpg,0
fog/59329_0OMB.jpg,2
fog/17002_SWZR.jpg,2
fog/13440_YKJT.jpg,2
fog/06263_SJWH.jpg,2
snow/20641_UP3K.jpg,3
rain/50986_XUDU.jpg,1
fog/07477.jpg,2
fog/37159_M7HA.jpg,2
fog/55359_NBMU.jpg,2
snow/36898.jpg,3
clear/43665_BRT0.jpg,0
clear/11558_PSHS.jpg,0
fog/07394.jpg,2
rain/43853_SW5G.jpg,1
snow/31396.jpg,3
fog/52366_EXHN.jpg,2
clear/06403_8IFS.jpg,0
fog/31343_MFVF.jpg,2
clear/48290_TEHW.jpg,0
clear/17095_XWFS.jpg,0
fog/07277_J5QL.jpg,2
fog/52283_63T3.jpg,2
fog/55223_3GHO.jpg,2
